+-----------------------------------------+--------------------+----------+-----------------------------------+
| File                                    | Execution Time     | Action   | Signature                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.071048736572266    | Execute  | test(120, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.073909759521484    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168     | Execute  | test(130)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.081777572631836    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.059127807617188    | Execute  | test(140, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.055074691772461    | Execute  | test(150)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08702278137207     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(160, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.08392333984375     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168     | Execute  | test(170)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.054836273193359    | Execute  | test(180, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056982040405273    | Execute  | test(190)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(200, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.086069107055664    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.054836273193359    | Execute  | test(210)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092744827270508    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056266784667969    | Execute  | test(220, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(230)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076055526733398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(240, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.138044357299805    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090837478637695    | Execute  | test(250)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.118017196655273    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076770782470703    | Execute  | test(260, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.150918960571289    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.078916549682617    | Execute  | test(270)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.114917755126953    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.081062316894531    | Execute  | test(280, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.074863433837891    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.066041946411133    | Execute  | test(290)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.089168548583984    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168     | Execute  | test(300, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.076770782470703    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058174133300781    | Execute  | test(310)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082015991210938    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.063180923461914    | Execute  | test(320, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.089168548583984    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056982040405273    | Execute  | test(330)                         |
